"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-04","S94-04 - Road Contribution Sector 10","DA11/0251","Approved","erection of light industrial building","erection of light industrial building","SOUTH MURWILLUMBAH","DevUnit",,,2011,"7160","Roads","0","0","41642"
"S94-04","S94-04 - Road Contribution Sector 10","DA11/0321","Approved","construction of three (3) storage units","construction of three (3) storage units","SOUTH MURWILLUMBAH","DevUnit",,,2011,"1055","Roads","0","37175","37175"
"S94-04","S94-04 - Road Contribution Sector 10","DA11/0349","Approved","addition of a waste storage facility (household hazardous waste)","addition of a waste storage facility (household hazardous wa","EVIRON","DevUnit",,,2011,"885","Roads","0","1153","1153"
"S94-04","S94-04 - Road Contribution Sector 10","DA12/0172","Approved","additions and alterations to an existing car repair station including a managers residence and refreshment room","additions and alterations to an existing car repair station ","STOKERS SIDING","DevUnit",,,2012,"3129","Roads","0","1822","1822"
"S94-04","S94-04 - Road Contribution Sector 10","DA12/0320","Approved","two lot into six lot subdivision","two lot into six lot subdivision","NUNDERI","DevUnit",,,2013,"3963","Roads","31840","42578.13","11112.51"
"S94-04","S94-04 - Road Contribution Sector 10","DA12/0384","Approved","alterations and additions to the Tweed River Regional Art Gallery","alterations and additions to the Tweed River Regional Art Ga","SOUTH MURWILLUMBAH","DevUnit",,,2012,"1080","Roads","0","86308","86308"
"S94-04","S94-04 - Road Contribution Sector 10","DA13/0130","Approved","rural industry and roadside stall (staged development)","rural industry and roadside stall (staged development)","CLOTHIERS CREEK","DevUnit",,,2013,"3313","Roads","0","318","318"
"S94-04","S94-04 - Road Contribution Sector 10","DA13/0392","Approved","nine lots into two lots subdivision","nine lots into two lots subdivision","KIELVALE","DevUnit",,,2013,"4260","Roads","0","12298","12298"
"S94-04","S94-04 - Road Contribution Sector 10","DA16/0539","Approved","agricultural packing shed, care takers dwelling and office","agricultural packing shed, care takers dwelling and office","SOUTH MURWILLUMBAH","DevUnit",,,2017,"1059","Roads","0","33277.24","33277.24"
"S94-04","S94-04 - Road Contribution Sector 10","DA17/0915","Approved","convert existing farm building into restaurant/café","convert existing farm building into restaurant/café","CLOTHIERS CREEK","DevUnit",,,2018,"3250","Roads","0","27964.8","27964.8"
"S94-04","S94-04 - Road Contribution Sector 10","DA19/0515","Approved","production of botanical drinking water up to 26,520KL per year which will be transported to Gold Coast/Brisbane region for bottling","production of botanical drinking water up to 26,520KL per ye","CONDONG","DevUnit",,,2019,"1081","Roads","0","11050","11050"
"S94-04","S94-04 - Road Contribution Sector 10","DA19/0803","Approved","organic waste management facility (NRPP)","organic waste management facility (NRPP)","EVIRON","DevUnit",,,2020,"885","Roads","0","20328.6","20328.6"
"S94-04","S94-04 - Road Contribution Sector 10","DA20/0469","Approved","alterations and additions to an existing service station","alterations and additions to an existing service station","SOUTH MURWILLUMBAH","DevUnit",,,2020,"1270","Roads","0","3551.4","3551.4"
"S94-04","S94-04 - Road Contribution Sector 10","DA20/0548","Approved","use of existing polyurethane igloos and ablution shed, and replacement of one igloo","use of existing polyurethane igloos and ablution shed, and r","STOKERS SIDING","DevUnit",,,2021,"2131","Roads","0","145","145"
"S94-04","S94-04 - Road Contribution Sector 10","DA20/0626","Approved","alterations and additions to an existing bus depot and the relocation of an existing dwelling on-site","alterations and additions to an existing bus depot and the r","STOKERS SIDING","DevUnit",,,2021,"1593","Roads","0","51276","51276"
"S94-04","S94-04 - Road Contribution Sector 10","K00/0232","Approved","additions to an existing house boat hiring and servicing business","additions to an existing house boat hiring and servicing bus","SOUTH MURWILLUMBAH","DevUnit",,,2000,"1275","Roads","0","172.85","172.85"
"S94-04","S94-04 - Road Contribution Sector 10","K00/0344","Approved","construction of cogeneration plant","construction of cogeneration plant","CONDONG","DevUnit",,,2000,"9731","Roads","0","27844","27844"
"S94-04","S94-04 - Road Contribution Sector 10","S96/0144","Approved","five lot rural subdivision","five lot rural subdivision","STOKERS SIDING","DevUnit",,,1997,"4996","Roads","0","9576","9576"
"S94-04","S94-04 - Road Contribution Sector 11","DA04/0857","Approved","subdivision (2) lots","subdivision (2) lots","MOOBALL","DevUnit",,,2005,"1070","Roads","0","1295","1295"
"S94-04","S94-04 - Road Contribution Sector 11","DA05/0446","Approved","two (2) lot subdivision","two (2) lot subdivision","BURRINGBAR","DevUnit",,,2005,"1222","Roads","0","1295","1295"
"S94-04","S94-04 - Road Contribution Sector 11","DA06/0416","Approved","3 lot subdivision","3 lot subdivision","UPPER BURRINGBAR","DevUnit",,,2007,"2060","Roads","0","6637","6637"
"S94-04","S94-04 - Road Contribution Sector 11","DA06/0544","Approved","two (2) lot subdivision","two (2) lot subdivision","UPPER BURRINGBAR","DevUnit",,,2008,"6480","Roads","0","8210","6637"
"S94-04","S94-04 - Road Contribution Sector 11","DA06/1035","Approved","self storage facility","self storage facility","CUDGERA CREEK","DevUnit",,,2007,"3890","Roads","0","8168","8168"
"S94-04","S94-04 - Road Contribution Sector 11","DA08/0784","Approved","conversion of existing garage  & additions to existing dwelling to create attached dual occupancy","conversion of existing garage  & additions to existing dwell","BURRINGBAR","DevUnit",,,2009,"2342","Roads","0","7111","7111"
"S94-04","S94-04 - Road Contribution Sector 11","DA08/1240","Approved","three (3) lot subdivision","three (3) lot subdivision","UPPER BURRINGBAR","DevUnit",,,2009,"1787","Roads","0","17121","14222"
"S94-04","S94-04 - Road Contribution Sector 11","DA10/0821","Approved","erection of a rural workers dwelling","erection of a rural workers dwelling","MOOBALL","DevUnit",,,2011,"7977","Roads","0","7306","7306"
"S94-04","S94-04 - Road Contribution Sector 11","DA11/0526","Approved","extensions to existing storage facility and reconfiguration of existing depot for truck storage and landscaping supplies","extensions to existing storage facility and reconfiguration ","CUDGERA CREEK","DevUnit",,,2012,"3890","Roads","0","13910","13910"
"S94-04","S94-04 - Road Contribution Sector 11","DA13/0020","Approved","rural industry (production of cheese) and an ancillary rural tourist facility (retail sale, cafe, education and demonstration) over four (4) stages","rural industry (production of cheese) and an ancillary rural","BURRINGBAR","DevUnit",,,2013,"1078","Roads","16572","34108","13844"
"S94-04","S94-04 - Road Contribution Sector 11","DA13/0040","Approved","fitout existing building for the purpose of a spring water bottling facility","fitout existing building for the purpose of a spring water b","UPPER BURRINGBAR","DevUnit",,,2013,"9986","Roads","0","1200","1200"
"S94-04","S94-04 - Road Contribution Sector 11","DA13/0098","Approved","legalisation of existing farm structure as a rural workers dwelling","legalisation of existing farm structure as a rural workers d","MOOBALL","DevUnit",,,2013,"8329","Roads","0","8424","8424"
"S94-04","S94-04 - Road Contribution Sector 11","DA13/0712","Approved","micro herb production facility including two greenhouses, two pump sheds, potting shed/ office, water tank, driveway access and associated earthworks","micro herb production facility including two greenhouses, tw","BURRINGBAR","DevUnit",,,2014,"1084","Roads","0","13996.8","13996.8"
"S94-04","S94-04 - Road Contribution Sector 11","DA16/0328","Approved","rural workers dwelling","rural workers dwelling","CUDGERA CREEK","DevUnit",,,2016,"1469","Roads","0","8645","8645"
"S94-04","S94-04 - Road Contribution Sector 11","DA16/0619","Approved","demolition of an existing dwelling and proposed new dual occupancy","demolition of an existing dwelling and proposed new dual occ","CUDGERA CREEK","DevUnit",,,2017,"1469","Roads","0","0","1729"
"S94-04","S94-04 - Road Contribution Sector 11","DA17/0106","Approved","rural land sharing community comprising 6 dwellings (including 1 existing dwelling)","rural land sharing community comprising 6 dwellings (includi","CRABBES CREEK","DevUnit",,,2017,"2382","Roads","17498","26247","8749"
"S94-04","S94-04 - Road Contribution Sector 11","DA18/0054","Approved","eco-tourist facility (6 cabins) and camping ground (12 sites)","eco-tourist facility (6 cabins) and camping ground (12 sites","CRABBES CREEK","DevUnit",,,2020,"4148","Roads","34792.8","34792.8","-12114.4"
"S94-04","S94-04 - Road Contribution Sector 11","DA19/0260","Approved","dual occupancy (detached)","dual occupancy (detached)","BURRINGBAR","DevUnit",,,2019,"2188","Roads","0","1940","1940"
"S94-04","S94-04 - Road Contribution Sector 11","K99/1689","Approved","two lot rural subdivision","two lot rural subdivision","UPPER BURRINGBAR","DevUnit",,,2000,"3017","Roads","0","1295","1295"
"S94-04","S94-04 - Road Contribution Sector 11","K99/1726","Approved","tourist accom inc 8 cabins & tearoom, conversion of existing dwelling to storage office facility & erection of a dwelling house to be constructed in four stages","tourist accom inc 8 cabins & tearoom, conversion of existing","CRABBES CREEK","DevUnit",,,2000,"4259","Roads","0","1989","1989"
"S94-04","S94-04 - Road Contribution Sector 11","S96/0147","Approved","two (2) lot rural subdivision","two (2) lot rural subdivision","UPPER BURRINGBAR","DevUnit",,,1997,"1787","Roads","0","8749","8749"
"S94-04","S94-04 - Road Contribution Sector 11","S96/0182","Approved","6 lot rural subdivision","6 lot rural subdivision","CUDGERA CREEK","DevUnit",,,1997,"4536","Roads","0","3885","3885"
"S94-04","S94-04 - Road Contribution Sector 12","0039/2001DA","Approved","alterations and additions to an existing packing/storage shed and establish a roadside stall and associated signage","alterations and additions to an existing packing/storage she","EUNGELLA","DevUnit",,,2001,"3726","Roads","0","1463","1463"
"S94-04","S94-04 - Road Contribution Sector 12","0436/2001DA","Approved","a three (3) lot subdivision","a three (3) lot subdivision","MOUNT WARNING","DevUnit",,,2002,"5106","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","0599/2001DA","Approved","tourist accommodation","tourist accommodation","UPPER CRYSTAL CREEK","DevUnit",,,2001,"1793","Roads","0","1605","1605"
"S94-04","S94-04 - Road Contribution Sector 12","0754/2000DA","Approved","tourist accommodation consisting of two self contained cabins","tourist accommodation consisting of two self contained cabin","CHOWAN CREEK","DevUnit",,,2000,"3139","Roads","2322","6032","3710"
"S94-04","S94-04 - Road Contribution Sector 12","1226/2001DA","Approved","the erection of a dwelling house to be used for bed and breakfast accommodation","the erection of a dwelling house to be used for bed and brea","DULGUIGAN","DevUnit",,,2002,"4223","Roads","0","0","4586.4"
"S94-04","S94-04 - Road Contribution Sector 12","1335/2001DA","Approved","erection of a dwelling house & tourist cabin; and conversion of existing dwelling into laundry/guest amenities building","erection of a dwelling house & tourist cabin; and conversion","NOBBYS CREEK","DevUnit",,,2002,"3345","Roads","0","2184","2184"
"S94-04","S94-04 - Road Contribution Sector 12","1339/2001DA","Approved","additions to existing boarding kennels","additions to existing boarding kennels","CAROOL","DevUnit",,,2002,"3309","Roads","0","1257.7","1257.7"
"S94-04","S94-04 - Road Contribution Sector 12","1366/2001DA","Approved","the erection of a dwelling house, garage, and establishment of a dog and cat boarding facility","the erection of a dwelling house, garage, and establishment ","DULGUIGAN","DevUnit",,,2002,"1408","Roads","0","4193.3","4193.3"
"S94-04","S94-04 - Road Contribution Sector 12","D97/0213","Approved","bed and breakfast and advertising sign","bed and breakfast and advertising sign","NORTH TUMBULGUM","DevUnit",,,1997,"2928","Roads","0","2183","2183"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/0723","Approved","stable & rural workers quarters","stable & rural workers quarters","BILAMBIL","DevUnit",,,2002,"1270","Roads","0","360","360"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/0820","Approved","addition of shelter to golf pro shop","addition of shelter to golf pro shop","CAROOL","DevUnit",,,2002,"2543","Roads","0","30995","13100"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/1284","Approved","boundary alteration","boundary alteration","UPPER CRYSTAL CREEK","DevUnit",,,2002,"1793","Roads","0","0","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/1761","Approved","rural workers dwelling","rural workers dwelling","DULGUIGAN","DevUnit",,,2003,"2321","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/1771","Approved","rural tourist facility","rural tourist facility","UPPER DUROBY","DevUnit",,,2003,"1794","Roads","0","1028.48","1028.48"
"S94-04","S94-04 - Road Contribution Sector 12","DA02/1815","Approved","rural workers dwelling","rural workers dwelling","CAROOL","DevUnit",,,2003,"3309","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/0008","Approved","earthworks/rock removal","earthworks/rock removal","BYANGUM","DevUnit",,,2003,"4132","Roads","0","472.5","472.5"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/0041","Approved","three (3) lot subdivision","three (3) lot subdivision","UKI","DevUnit",,,2003,"3122","Roads","0","14192","14192"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/0274","Approved","2 lot subdivision","2 lot subdivision","UKI","DevUnit",,,2003,"3302","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/0504","Approved","two (2) accommodation bungalows","two (2) accommodation bungalows",,"DevUnit",,,2003,"6193","Roads","0","5458","5458"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/1367","Approved","subdivision into (two) 2 lots and a dwelling","subdivision into (two) 2 lots and a dwelling","ROWLANDS CREEK","DevUnit",,,2003,"1519","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/1450","Approved","two (2) lot subdivision","two (2) lot subdivision","SMITHS CREEK","DevUnit",,,2004,"7013","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/1831","Approved","stables & strappers quarters","stables & strappers quarters","BILAMBIL","DevUnit",,,2004,"1270","Roads","0","360","360"
"S94-04","S94-04 - Road Contribution Sector 12","DA03/1880","Approved","three (3) lot subdivision","three (3) lot subdivision","UKI","DevUnit",,,2004,"1066","Roads","0","3872","14192"
"S94-04","S94-04 - Road Contribution Sector 12","DA04/0548","Approved","2 lot rural subdivision","2 lot rural subdivision","NOBBYS CREEK","DevUnit",,,2004,"1123","Roads","0","0","2746"
"S94-04","S94-04 - Road Contribution Sector 12","DA04/1289","Approved","tourist accommodation comprising of ten (10) cabins and a conference room","tourist accommodation comprising of ten (10) cabins and a co","CAROOL","DevUnit",,,2005,"3309","Roads","0","21834","21834"
"S94-04","S94-04 - Road Contribution Sector 12","DA04/1349","Approved","2  lot subdivision","2  lot subdivision","UKI","DevUnit",,,2005,"3643","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA05/0245","Approved","conversion of a dwelling to an attached dual occupancy","conversion of a dwelling to an attached dual occupancy","TERRANORA","DevUnit",,,2005,"2196","Roads","0","9926","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA05/0655","Approved","2 lot rural subdivision","2 lot rural subdivision","NORTH TUMBULGUM","DevUnit",,,2006,"3453","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA05/1116","Approved","bush rock removal","bush rock removal","BYANGUM","DevUnit",,,2006,"4132","Roads","0","76","76"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/0682","Approved","recreation establishment comprising of meditation centre, accommodation wings for up to twenty guests, administration, dining and kitchen facilities, bathroom amenities, car parking, spa and massage facilities","recreation establishment comprising of meditation centre, ac","SMITHS CREEK","DevUnit",,,2006,"3073","Roads","0","4264","4264"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/0882","Approved","attached dual occupancy","attached dual occupancy","NOBBYS CREEK","DevUnit",,,2007,"7785","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/0898","Approved","demolition and erection of a dual occupancy","demolition and erection of a dual occupancy","UPPER DUROBY","DevUnit",,,2006,"1795","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/1014","Approved","Restaurant","Restaurant","MOUNT WARNING","DevUnit",,,2007,"4069","Roads","0","19963.94","25225"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/1023","Approved","transportation of water","transportation of water","KYNNUMBOON","DevUnit",,,2007,"1135","Roads","0","16496","8248"
"S94-04","S94-04 - Road Contribution Sector 12","DA06/1103","Approved","2 lot subdivision and erection of 4 tourist cabins in stages:
Stage 1 -  2 lot subdivision & construction of Cabin A & conversion of the existing residence to a managers residence, Stage 2 - Cabin B, Stage 3 -  Cabin C and Stage 4 - Cabin D","2 lot subdivision and erection of 4 tourist cabins in stages","UPPER CRYSTAL CREEK","DevUnit",,,2006,"1790","Roads","8121","17924","9805"
"S94-04","S94-04 - Road Contribution Sector 12","K98/0879","Approved","erection of a dwelling & tourist accommodation","erection of a dwelling & tourist accommodation","FARRANTS HILL","DevUnit",,,1999,"4927","Roads","0","3316","3316"
"S94-04","S94-04 - Road Contribution Sector 12","K99/0294","Approved","3 lot rural/residential subdivision","3 lot rural/residential subdivision","UKI","DevUnit",,,1999,"1518","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","K99/0554","Approved","removal of surface rock","removal of surface rock","CAROOL","DevUnit",,,1999,"2843","Roads","0","2362.5","2362.5"
"S94-04","S94-04 - Road Contribution Sector 12","K99/0959","Approved","erection of a rural workers dwelling","erection of a rural workers dwelling","TYGALGAH","DevUnit",,,1999,"1763","Roads","0","3548","3548"
"S94-04","S94-04 - Road Contribution Sector 12","S94/0091","Approved","2 lot rural subdivision","2 lot rural subdivision","UPPER DUROBY","DevUnit",,,1994,"7296","Roads","0","1774","1774"
"S94-04","S94-04 - Road Contribution Sector 12","S96/0061","Court Appr","2 lot rural subdivision","2 lot rural subdivision","BILAMBIL","DevUnit",,,1996,"3069","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12","S96/0069","Approved","2 lot rural subdivision","2 lot rural subdivision","KYNNUMBOON","DevUnit",,,1996,"3780","Roads","0","7096","7096"
"S94-04","S94-04 - Road Contribution Sector 12a","DA03/0445","Approved","use of an existing stock & domestic water bore for the purpose of a rural industry comprising the harvesting & bottling of mineral water","use of an existing stock & domestic water bore for the purpo","URLIUP","DevUnit",,,2003,"2216","Roads","0","18408","14712"
"S94-04","S94-04 - Road Contribution Sector 12a","DA07/0994","Approved","alterations and additions to existing recreation establishment including addition of 42 dormitory beds, amenities room and construction of a toilet block","alterations and additions to existing recreation establishme","CAROOL","DevUnit",,,2008,"2851","Roads","0","2529","2529"
"S94-04","S94-04 - Road Contribution Sector 12a","DA08/0976","Approved","two (2) lot subdivision","two (2) lot subdivision","KYNNUMBOON","DevUnit",,,2009,"2219","Roads","0","14976","14976"
"S94-04","S94-04 - Road Contribution Sector 12a","DA08/1251","Approved","change of use - respite care centre and public building plus alterations and additions to existing structures","change of use - respite care centre and public building plus","DUNGAY","DevUnit",,,2009,"3249","Roads","0","58204","8622"
"S94-04","S94-04 - Road Contribution Sector 12a","DA09/0685","Approved","two (2) lot subdivision","two (2) lot subdivision","BILAMBIL","DevUnit",,,2010,"6451","Roads","0","12851.68","12851.68"
"S94-04","S94-04 - Road Contribution Sector 12a","DA11/0627","Approved","use of existing premises for the purpose of farm stay animal accommodation and welfare shelter","use of existing premises for the purpose of farm stay animal","TYGALGAH","DevUnit",,,2012,"4020","Roads","0","2761","2761"
"S94-04","S94-04 - Road Contribution Sector 12a","DA14/0849","Approved","restaurant and associated signage","restaurant and associated signage","CAROOL","DevUnit",,,2015,"2815","Roads","13811","39677","25798"
"S94-04","S94-04 - Road Contribution Sector 12a","DA15/0265","Approved","2 lot subdivision","2 lot subdivision","TYGALGAH","DevUnit",,,2015,"1093","Roads","0","13130.47","19923"
"S94-04","S94-04 - Road Contribution Sector 12a","DA15/0456","Approved","use of existing buildings as secondary school","use of existing buildings as secondary school","DUNGAY","DevUnit",,,2015,"3249","Roads","50512","75768","-37884"
"S94-04","S94-04 - Road Contribution Sector 12a","DA17/0255","Approved","use of previously converted farm shed as farm stay accommodation","use of previously converted farm shed as farm stay accommoda","CAROOL","DevUnit",,,2018,"1111","Roads","0","12783","12783"
"S94-04","S94-04 - Road Contribution Sector 12a","DA18/0323","Approved","temporary use of land for private functions/events","temporary use of land for private functions/events","BILAMBIL","DevUnit",,,2019,"4097","Roads","0","9024","9024"
"S94-04","S94-04 - Road Contribution Sector 12a","DA18/0971","Approved","Staged eco tourist facility comprising two (2) cabins (1 cabin per stage)","Staged eco tourist facility comprising two (2) cabins (1 cab","CAROOL","DevUnit",,,2019,"9677","Roads","8849","17698","8849"
"S94-04","S94-04 - Road Contribution Sector 12a","DA19/0489","Approved","land based tank aquaculture for algae farming in two stages","land based tank aquaculture for algae farming in two stages","DULGUIGAN","DevUnit",,,2020,"1064","Roads","71345.4","71345.4","47563.6"
"S94-04","S94-04 - Road Contribution Sector 12b","D93/0005","Approved","erection of six (6) cabins for tourist accommodation","erection of six (6) cabins for tourist accommodation","DUM DUM","DevUnit",,,1993,"1109","Roads","0","2791.66","1395.83"
"S94-04","S94-04 - Road Contribution Sector 12b","DA07/0467","Approved","use of established bush tucker garden and existing farm shed as a rural tourist facility including guided tours of the garden, use of existing open sided farm shed for demonstrations and displays and as a lunch and rest area by visitors and groups","use of established bush tucker garden and existing farm shed","CHILLINGHAM","DevUnit",,,2007,"1138","Roads","0","2249","2249"
"S94-04","S94-04 - Road Contribution Sector 12b","DA07/0793","Approved","subdivision of 8 lots and public road into 4 lots, the use of existing buildings on proposed Lot 1 for dwelling house purposes and the conversion of existing dwellings on proposed Lots 3 and 4 to sheds","subdivision of 8 lots and public road into 4 lots, the use o","MOUNT WARNING","DevUnit",,,2008,"4401","Roads","0","40209","40209"
"S94-04","S94-04 - Road Contribution Sector 12b","DA08/0330","Approved","attached dual occupancy","attached dual occupancy","SMITHS CREEK","DevUnit",,,2008,"1535","Roads","0","12181","12181"
"S94-04","S94-04 - Road Contribution Sector 12b","DA08/0904","Approved","additions to existing tourist facility","additions to existing tourist facility","UPPER CRYSTAL CREEK","DevUnit",,,2010,"2213","Roads","18558","49488","30930"
"S94-04","S94-04 - Road Contribution Sector 12b","DA08/0933","Approved","six (6) lot subdivision","six (6) lot subdivision","CHILLINGHAM","DevUnit",,,2009,"1994","Roads","0","78832","73385"
"S94-04","S94-04 - Road Contribution Sector 12b","DA09/0313","Approved","five (5) lot subdivision comprising of four (4) residential lots and one (1) lot for public reserve dedication","five (5) lot subdivision comprising of four (4) residential ","UKI","DevUnit",,,2010,"8869","Roads","0","26806","26806"
"S94-04","S94-04 - Road Contribution Sector 12b","DA10/0053","Approved","three (3) lot rural residential subdivision","three (3) lot rural residential subdivision","SMITHS CREEK","DevUnit",,,2010,"4064","Roads","11148.53","22979.18","11830.65"
"S94-04","S94-04 - Road Contribution Sector 12b","DA12/0070","Approved","construction of a dwelling to create a detached dual occupancy with alterations to existing dwelling","construction of a dwelling to create a detached dual occupan","UKI","DevUnit",,,2012,"1065","Roads","0","8732","8732"
"S94-04","S94-04 - Road Contribution Sector 12b","DA13/0121","Approved","minor boundary adjustment (stage 1) and two (2) lot subdivision (stage 2)","minor boundary adjustment (stage 1) and two (2) lot subdivis","CHILLINGHAM","DevUnit",,,2013,"4290","Roads","0","11579.36","11579.36"
"S94-04","S94-04 - Road Contribution Sector 12b","DA14/0085","Approved","change of use of existing structures to a dwelling and rural tourist facility","change of use of existing structures to a dwelling and rural","MOUNT WARNING","DevUnit",,,2015,"4069","Roads","0","10759","10759"
"S94-04","S94-04 - Road Contribution Sector 12b","DA16/0133","Approved","2 lot subdivision","2 lot subdivision","UKI","DevUnit",,,2016,"1080","Roads","0","11508.98","11508.98"
"S94-04","S94-04 - Road Contribution Sector 12b","DA16/0145","Approved","additions to existing dwelling to create an attached dual occupancy","additions to existing dwelling to create an attached dual oc","SMITHS CREEK","DevUnit",,,2016,"2762","Roads","0","3288","226"
"S94-04","S94-04 - Road Contribution Sector 12b","DA16/0448","Approved","farm stay accommodation","farm stay accommodation","BYANGUM","DevUnit",,,2016,"4328","Roads","0","14921","14921"
"S94-04","S94-04 - Road Contribution Sector 12b","DA17/0149","Approved","eco-tourist facility","eco-tourist facility","SMITHS CREEK","DevUnit",,,2018,"3182","Roads","11934","35802","23868"
"S94-04","S94-04 - Road Contribution Sector 12b","DA18/0652","Approved","demolition of existing dwelling, tree removal and construction of a mixed use development comprising a dwelling, shop top housing unit, shops and signage","demolition of existing dwelling, tree removal and constructi","UKI","DevUnit",,,2019,"8948","Roads","0","9946.8","9946.8"
"S94-04","S94-04 - Road Contribution Sector 12b","S96/0129","Approved","14 lot rural subdivision","14 lot rural subdivision","NOBBYS CREEK","DevUnit",,,1997,"1361","Roads","13790","15169","1379"
"S94-04","S94-04 - Road Contribution Sector 13","D97/0223","Approved","erection of an attached dual occupancy","erection of an attached dual occupancy","LIMPINWOOD","DevUnit",,,1997,"2200","Roads","0","6494","6494"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/0066","Approved","two (2) lot subdivision","two (2) lot subdivision","MOUNT BURRELL","DevUnit",,,2003,"2335","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/0070","Approved","conversion of existing building to Chillingham Community Technology Centre","conversion of existing building to Chillingham Community Tec","CHILLINGHAM","DevUnit",,,2003,"1144","Roads","0","1789.2","1789.2"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/0174","Approved","two (2) lot subdivision","two (2) lot subdivision","COMMISSIONERS CREEK","DevUnit",,,2003,"3861","Roads","0","10824","15635"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/1122","Approved","2 lot subdivision","2 lot subdivision","TYALGUM CREEK","DevUnit",,,2003,"1784","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/1488","Approved","three lot subdivision","three lot subdivision","BRAYS CREEK","DevUnit",,,2004,"2572","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA03/1785","Approved","2 lot subdivision","2 lot subdivision","PUMPENBIL","DevUnit",,,2004,"5863","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA04/0659","Approved","2 lot subdivision","2 lot subdivision","MOUNT BURRELL","DevUnit",,,2004,"4467","Roads","0","15635","15635"
"S94-04","S94-04 - Road Contribution Sector 13","DA04/1210","Approved","two lot rural subdivision","two lot rural subdivision","MIDGINBIL","DevUnit",,,2005,"1055","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA05/0810","Approved","erection of an additional dwelling to form an attached dual occupancy","erection of an additional dwelling to form an attached dual ","LIMPINWOOD","DevUnit",,,2005,"3962","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA05/0995","Approved","rural industry for water bottling","rural industry for water bottling","KUNGHUR","DevUnit",,,2006,"4148","Roads","0","15741","15741"
"S94-04","S94-04 - Road Contribution Sector 13","DA05/1280","Approved","3 lot subdivision","3 lot subdivision","DOON DOON","DevUnit",,,2007,"6388","Roads","0","20322","10647"
"S94-04","S94-04 - Road Contribution Sector 13","DA05/1367","Approved","two lot subdivision","two lot subdivision","PUMPENBIL","DevUnit",,,2006,"2927","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA06/0279","Approved","three (3) lot subdivision","three (3) lot subdivision","TYALGUM CREEK","DevUnit",,,2006,"1014","Roads","0","19350","19350"
"S94-04","S94-04 - Road Contribution Sector 13","DA06/0606","Approved","rural workers dwelling","rural workers dwelling","NUMINBAH","DevUnit",,,2006,"7029","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA06/0686","Approved","2 lot subdivision","2 lot subdivision","TYALGUM","DevUnit",,,2006,"1019","Roads","0","10824","10824"
"S94-04","S94-04 - Road Contribution Sector 13","DA06/0847","Approved","3 lot subdivision","3 lot subdivision","TYALGUM","DevUnit",,,2007,"1861","Roads","0","19350","19350"
"S94-04","S94-04 - Road Contribution Sector 13","DA06/0868","Approved","establishment of a tourist accommodation for the erection of three (3) cabin buildings","establishment of a tourist accommodation for the erection of","LIMPINWOOD","DevUnit",,,2006,"2062","Roads","0","10824","10824"
