Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-22,Roads,S94-22 - Cycleways,426,0,,,,,0,CDC22/0067,"Private Certifier CDC - dual occupancy, attached garages and retaining walls","Private Certifier CDC - dual occupancy, attached garages and",,Approved,2022-06-21,2022,940346,940346,TWEED HEADS,Lot 10 DP 21234,9 Florence Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,426,426,426,12781012,
S94-18,Other,S94-18 - Council Admin/Support Facilities,194.91,DA14/0869 (as per recalc KLM),,,,,194.91,DA14/0869,alterations to an existing brewery,alterations to an existing brewery,1,Approved,2015-02-05,2015,646970,646970,SOUTH MURWILLUMBAH,Lot 207 DP 1122768,35-37 Kite Crescent SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewide,194.91,194.91,194.91,6891735,DA14/0869 (as per recalc KLM)
S94-04,Roads,S94-04 - Road Contribution Sector 09,9198,0,,,,,0,DA18/0085,two lot subdivision,two lot subdivision,2,Approved,2018-05-21,2018,768311,768311,MURWILLUMBAH,Lot 515 DP 1222426,60 Rous River Way MURWILLUMBAH NSW 2484,Council,LEVIED,Sector9_4,9198,9198,9198,9305857,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),13909,DA16/0896 (residential/tourist component)JT,,,,,0,DA16/0896,mixed use development including shops and dual use shop top housing and serviced apartments,mixed use development including shops and dual use shop top ,1,Approved,2017-10-11,2017,725441,725441,BOGANGAR,"Lot 101 DP 1257512
Being Lots 1-2 SP 100662",49 Tweed Coast Road BOGANGAR NSW 2488,Council,LEVIED,StrucOS_26,13909,13909,13909,9082463,DA16/0896 (residential/tourist component)JT
S94-18,Other,S94-18 - Council Admin/Support Facilities,1451.72,0,,,,,1451.72,DA17/0854,change of use from dwelling and secondary dwelling to detached dual occupancy and two lot strata subdivision,change of use from dwelling and secondary dwelling to detach,2,Approved,2018-05-07,2018,762147,762147,POTTSVILLE,Lot 57 DP 263729,23 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,Shirewide,1451.72,1451.72,1451.72,9291120,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),588,0,,,,,0,DA16/0054,2 storey dual occupancy,2 storey dual occupancy,2,Approved,2016-04-14,2016,689201,689201,MURWILLUMBAH,Lot 368 DP 1196575,5 Talganda Terrace MURWILLUMBAH NSW 2484,Council,LEVIED,ComFac15,588,588,588,7598403,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,252077,0,,,,,252077,DA21/0637,residential flat building comprising of 47 units (NRPP),residential flat building comprising of 47 units (NRPP),47,Approved,2022-06-03,2022,904110,904110,CASUARINA,Lot 59 DP 1264557,5 Grand Parade CASUARINA NSW 2487,Council,LEVIED,Sector7_4,252077,252077,252077,12316667,
S94-05,Open Space,S94-05 - Casual Open Space (Local),552.72,0,,,,,0,DA17/0546,2 lot subdivision,2 lot subdivision,2,Approved,2017-12-22,2017,751529,751529,MURWILLUMBAH,Lot 514 DP 1222426,62 Rous River Way MURWILLUMBAH NSW 2484,Council,LEVIED,CasualOS_5,552.72,552.72,552.72,9158012,
S94-18,Other,S94-18 - Council Admin/Support Facilities,430.15,0,,,,,430.15,DA22/0320,alterations and additions to an existing shop at the waste and resource management facility (Tweed JUNKtion),alterations and additions to an existing shop at the waste a,1,Approved,2022-12-07,2022,934534,934534,EVIRON,"Lot 5 DP 221825
Lot 1 DP 590220",298 Bartletts Road EVIRON NSW 2484,Council,LEVIED,Shirewide,430.15,430.15,430.15,12822081,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-4264,0,,,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,Approved,2017-05-11,2017,733344,733344,TWEED HEADS SOUTH,"Lot 40 DP 1255175
Being Lots 1-2 SP 100011",26 Cooloon Crescent TWEED HEADS SOUTH NSW 2486,Council,PAID,StrucOS_26,4264,4264,-4264,8319894,
S94-13,Other,S94-13 - Eviron Cemetery,,,-938,0,,,0,DA16/0772,townhouse development comprising 12 units,townhouse development comprising 12 units,12,Approved,2017-04-05,2017,720248,720248,TWEED HEADS,Lot 12 DP 25770,6 Stanley Street TWEED HEADS NSW 2485,Council,PAID,ResDevt13,938,938,-938,8282628,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-645,0,,,1290,DA17/0106,rural land sharing community comprising 6 dwellings (including 1 existing dwelling),rural land sharing community comprising 6 dwellings (includi,1,Approved,2017-10-30,2017,733665,733665,CRABBES CREEK,Lot 2 DP 777181,57 Crabbes Creek Road CRABBES CREEK NSW 2483,Council,PAID,StructOS_5,1935,1935,-645,9100927,
S94-04,Roads,S94-04 - Road Contribution Sector 02,2042,0,,,,,0,DA19/0746,detached dual occupancy,detached dual occupancy,1,Approved,2020-05-11,2020,834021,834021,BANORA POINT,Lot 7 DP 842627,22 Bushland Drive BANORA POINT NSW 2486,Council,LEVIED,Sector2_4,2042,2042,2042,10953923,
S94-13,Other,S94-13 - Eviron Cemetery,107,0,,,,,0,DA21/0200,detached dual occupancy,detached dual occupancy,2,Approved,2021-11-24,2021,888757,888757,TERRANORA,Lot 7 DP 1264394,87 Henry Lawson Drive TERRANORA NSW 2486,Council,LEVIED,ResDevt13,107,107,107,12132260,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-27695,0,,,0,DA14/0605,"multi dwelling housing (29 town houses), 29 lot strata subdivision and associated works","multi dwelling housing (29 town houses), 29 lot strata subdi",29,Approved,2015-02-10,2015,637671,637671,CASUARINA,"Lot 16 DP 1198266
Being Lots 1-29 SP 94481",15 Dianella Drive CASUARINA NSW 2487,Council,PAID,CasOS_26,27299,27299,-27695,6902692,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),849,0,,,,,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,Approved,2018-06-28,2018,764723,764723,KINGSCLIFF,"Lot 1 DP 1258055
Being Lots 1-2 SP 100835",21 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,CasOS_26,849,849,849,9345545,
S94-22,Roads,S94-22 - Cycleways,490,0,,,,,0,DA16/0762,Stage 1: change of use of existing units to permanent residential; 2 lot subdivision and 60 lot strata subdivision,Stage 1: change of use of existing units to permanent reside,3,Approved,2017-10-06,2017,719926,719926,BILAMBIL HEIGHTS,Lot 30 DP 850230 Transmission Line E'ment,61 Marana Street BILAMBIL HEIGHTS NSW 2486,Council,LEVIED,Shirewid22,490,490,490,9075911,
S94-04,Roads,S94-04 - Road Contribution Sector 08 Pottsville,36280,DA15/0642 (as per recalc 7/7/17) AM,,,,,0,DA15/0642,"additions and alterations to the existing Pottsville IGA, reconfiguration of the carpark and a new vehicular access","additions and alterations to the existing Pottsville IGA, re",1,Approved,2016-01-13,2016,672474,672474,POTTSVILLE,Lot 5 DP 1121923,11-13 Coronation Avenue POTTSVILLE NSW 2489,Council,LEVIED,Sector8_4,36280,36280,36280,7512394,DA15/0642 (as per recalc 7/7/17) AM
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-418,0,,,0,DA16/0755,dual occupancy with swimming pools,dual occupancy with swimming pools,2,Approved,2017-03-08,2017,719674,719674,POTTSVILLE,"Lot 5 DP 1239225
Being Lots 1-2 SP 96938",24 Elanora Avenue POTTSVILLE NSW 2489,Council,PAID,CasualOS_5,418,418,-418,8257075,
S94-04,Roads,S94-04 - Road Contribution LCA3,,,-122,DA19/0760 (40% Emp Gen Discount)JT,,,0,DA19/0760,koala holding facility now on PN112023,koala holding facility now on PN112023,1,Approved,2020-04-28,2020,834635,834635,POTTSVILLE,Lot 919 DP 1077493,Lomandra Avenue POTTSVILLE NSW 2489,Council,PAID,LCA-3,73.2,73.2,-122,10934614,DA19/0760 (40% Emp Gen Discount)JT
S94-22,Roads,S94-22 - Cycleways,154,0,,,,,0,DA15/0037,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2015-03-06,2015,651642,651642,TWEED HEADS,Lot 43 SP 79995,43/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,154,154,154,6924617,
S94-13,Other,S94-13 - Eviron Cemetery,,,-677,0,,,0,DA19/0199,residential flat building with basement car parking and swimming pool including demolition of all existing structures,residential flat building with basement car parking and swim,1,Approved,2019-08-19,2019,809179,809179,KINGSCLIFF,"Lot 176 DP 1270468
Being Lots 1-7 SP 102661",176 Marine Parade KINGSCLIFF NSW 2487,Council,PAID,ResDevt13,677,677,-677,10681212,
S94-12,Roads,S94-12 - Bus Shelters,,,-50,0,,,0,DA17/0417,construction of a dwelling to create detached dual occupancy,construction of a dwelling to create detached dual occupancy,1,Approved,2017-10-30,2017,746403,746403,KINGSCLIFF,"Lot 920 DP 1243236
Being Lots 1- 2 SP 98521",6 Kindee Street KINGSCLIFF NSW 2487,Council,PAID,Over10ET,50,50,-50,9100534,
S94-04,Roads,S94-04 - Road Contribution Sector 06,,,-191906.2,"DA19/0286 (40% Emp Gen Discount)JT,DA19/0286 (Contribution o'paid #799383 14/5/20)JT",,,0,DA19/0286,construction of 32 industrial units and strata subdivision,construction of 32 industrial units and strata subdivision,32,Approved,2019-10-30,2019,814224,814224,CHINDERAH,Lot 2 DP 1185359,18 Naru Street CHINDERAH NSW 2487,Council,PAID,Sector6_4,121144.2,121144.2,-191906.2,10762983,"DA19/0286 (40% Emp Gen Discount)JT,DA19/0286 (Contribution o'paid #799383 14/5/20)JT"
S94-28,Open Space,S94-28 - Structured Open Space (Regional),,,-1444.2,0,,,0,DA20/0371,"dual occupancy (attached), swimming pools and 2 lot strata subdivision","dual occupancy (attached), swimming pools and 2 lot strata s",2,Approved,2020-12-09,2020,856032,856032,KINGSCLIFF,"Lot 10 DP 1262504
Being Lots 1-2 SP 105954",80 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,StrucOS_28,1444.2,1444.2,-1444.2,11454867,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-277,0,,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,Approved,2019-05-30,2019,806058,806058,BOGANGAR,Lot 1 SP 86999,1/6 Banksia Avenue BOGANGAR NSW 2488,Council,PAID,ComFac15,257,257,-277,9995355,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),6031,DA20/1003 Stg1 - Residential,,,,,6031,DA20/1003,"shop top housing comprising two (2) commercial premises and eight (8) x 2 bedroom units, stratum subdivision, strata subdivision and tree removal",shop top housing comprising two (2) commercial premises and ,8,Approved,2022-01-10,2022,875137,875137,BOGANGAR,Lot 2 DP 842350,27 Tweed Coast Road BOGANGAR NSW 2488,Council,LEVIED,CasOS_26,6031,6031,6031,12168713,DA20/1003 Stg1 - Residential
S94-12,Roads,S94-12 - Bus Shelters,,,-76,0,,,0,DA18/0783,demolition of existing dwelling and construction of a detached dual occupancy and strata subdivision,demolition of existing dwelling and construction of a detach,2,Approved,2019-01-16,2019,792014,792014,KINGSCLIFF,Lot 5 Sec 1 DP 28949,14 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,Over10ET,71,71,-76,9857026,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,110512,0,,,,,0,DA20/0561,change of use to recreation facility (indoor),change of use to recreation facility (indoor),1,Approved,2020-12-15,2020,861667,861667,CASUARINA,Lot 171 DP 1208112,480 Casuarina Way CASUARINA NSW 2487,Council,LEVIED,Sector7_4,0,0,110512,11461817,
S94-12,Roads,S94-12 - Bus Shelters,68.4,0,,,,,68.4,DA20/0836,"dwelling with attached secondary dwelling, swimming pool, shed, and carport, and two (2) lot subdivision as staged development","dwelling with attached secondary dwelling, swimming pool, sh",2,Approved,2022-04-05,2022,870231,870231,BOGANGAR,Lot 52 DP 1158855,4 Rosewood Avenue BOGANGAR NSW 2488,Council,LEVIED,Over10ET,68.4,68.4,68.4,12258439,
S94-04,Roads,S94-04 - Road Contribution Sector 09,,,-19790,"DA20/0855 (40% EGD) KLM,DA20/0855 (100% EBE) KLM",,,0,DA20/0855,change of use of Tenancy 7 to recreation facility (indoor),change of use of Tenancy 7 to recreation facility (indoor),1,Approved,2021-03-10,2021,870707,870707,MURWILLUMBAH,Lot 2 DP 173499,63 Wollumbin Street MURWILLUMBAH NSW 2484,Council,PAID,Sector9_4,0,0,-19790,11559985,"DA20/0855 (40% EGD) KLM,DA20/0855 (100% EBE) KLM"
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1457,0,,,0,DA16/0762,Stage 1: change of use of existing units to permanent residential; 2 lot subdivision and 60 lot strata subdivision,Stage 1: change of use of existing units to permanent reside,3,Approved,2017-10-06,2017,719926,719926,BILAMBIL HEIGHTS,Lot 30 DP 850230 Transmission Line E'ment,61 Marana Street BILAMBIL HEIGHTS NSW 2486,Council,PAID,ComFac15,1457,1457,-1457,9075910,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1247,0,,,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,Approved,2017-05-11,2017,731426,731426,TWEED HEADS SOUTH,Lot 8 DP 258723,82 Blundell Boulevard TWEED HEADS SOUTH NSW 2486,Council,PAID,ComFac15,1247,1247,-1247,8320043,
S94-22,Roads,S94-22 - Cycleways,490,0,,,,,0,DA17/0351,demolition of existing dwelling and shed and 2 lot subdivision,demolition of existing dwelling and shed and 2 lot subdivisi,2,Approved,2017-09-26,2017,744078,744078,BANORA POINT,Lot 32 DP 1231602,14 Anthony Avenue BANORA POINT NSW 2486,Council,LEVIED,Shirewid22,490,490,490,9055651,
S94-05,Open Space,S94-05 - Structured Open Space (Local),13107,0,,,,,13107,DA20/0108,"19 lot community title subdivision, 18 dwelling houses, tree removal, earthworks and other ancillary works (staged development)","19 lot community title subdivision, 18 dwelling houses, tree",19,Approved,2021-12-15,2021,845467,845467,MURWILLUMBAH,Lot 2 DP 564549,42 North Arm Road MURWILLUMBAH NSW 2484,Council,LEVIED,StructOS_5,13107,13107,13107,12153368,
S94-11,Community Facilities,S94-11 - Library Facilities,652,0,,,,,0,DA17/0469,"part demolition of existing garage, alterations to existing dwelling, erection of new dwelling to create a detached dual occupancy and two lot strata subdivision","part demolition of existing garage, alterations to existing ",2,Approved,2017-12-01,2017,748506,748506,POTTSVILLE,"Lot 116 DP 1265189
Being Lots 1-2 SP 100832",3 Victoria Avenue POTTSVILLE NSW 2489,Council,LEVIED,ResDevt11,652,652,652,9137262,
S94-04,Roads,S94-04 - Road Contribution Sector 01,,,-27128.4,DA18/0038 (40% Emp Gen Discount)JT,,,40692.6,DA18/0038,use of internal alterations to medical centre,use of internal alterations to medical centre,1,DefdComnce,2019-09-24,2019,766407,766407,TWEED HEADS,Lot 6 Sec 2 DP 4043,13 Beryl Street TWEED HEADS NSW 2485,Council-Deferred,PAID,Sector1_4,40692.6,40692.6,-27128.4,10722178,DA18/0038 (40% Emp Gen Discount)JT
S94-22,Roads,S94-22 - Cycleways,1819,0,,,,,0,DA16/0450,multi dwelling housing (six townhouses) and associated earthworks,multi dwelling housing (six townhouses) and associated earth,6,Approved,2016-12-05,2016,705797,705797,TWEED HEADS,Lot 1 DP 1235246,14 Margaret Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,1819,1819,1819,8146264,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-553,0,,,0,DA16/0015,dual occupancy (detached) and 2 lot strata subdivision,dual occupancy (detached) and 2 lot strata subdivision,2,Approved,2016-04-15,2016,687965,687965,MURWILLUMBAH,"Lot 1 DP 1249663
Being Lots 1-2 SP 102045",31 Tweed Street MURWILLUMBAH NSW 2484,Council,PAID,StructOS_5,553,553,-553,7598633,
S94-04,Roads,S94-04 - Road Contribution Sector 06,,,-1799,0,,,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,Approved,2020-11-24,2020,859303,859303,KINGSCLIFF,Lot 2 DP 26293,30 Boomerang Street KINGSCLIFF NSW 2487,Council,PAID,Sector6_4,1799,1799,-1799,11438811,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3916.48,0,,,,,3916.48,DA21/0809,2 lot subdivision,2 lot subdivision,2,Approved,2022-07-06,2022,909339,909339,MURWILLUMBAH,Lot 4 Sec 44 DP 10629,32 Myrtle Street MURWILLUMBAH NSW 2484,Council,LEVIED,StrucOS_26,3916.48,3916.48,3916.48,12340052,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-3881.01,DA16/0300 (overpayment of S94 #702442 3/4/2017) AM,,,0,DA16/0300,"mixed use development including child care centre, medical centres, office premises, retail premises, food and drink premises, gymnasium and associated earthworks","mixed use development including child care centre, medical c",1,Approved,2016-12-20,2016,700573,700573,CASUARINA,Lot 171 DP 1208112,480 Casuarina Way CASUARINA NSW 2487,Council,PAID,Shirewide,3881.01,3881.01,-3881.01,8166980,DA16/0300 (overpayment of S94 #702442 3/4/2017) AM
S94-05,Open Space,S94-05 - Casual Open Space (Local),1443,"DA16/0526 (Stage 1) SH,DA16/0526 (Stage 2) SH,DA16/0526 (Stg 1 as per recalc 19/6/18) AM,DA16/0526 (Stg 1 as per recalc 26/7/18) AM",,,,,975,DA16/0526,multi-dwelling housing development comprising 4 townhouses in 2 stages,multi-dwelling housing development comprising 4 townhouses i,4,Approved,2017-02-14,2017,709392,709392,BANORA POINT,"Lot 607 DP 792534
Being Lots 1-3 SP 101534",102 Ash Drive BANORA POINT NSW 2486,Council,LEVIED,CasualOS_5,1443,1443,1443,8221280,"DA16/0526 (Stage 1) SH,DA16/0526 (Stage 2) SH,DA16/0526 (Stg 1 as per recalc 19/6/18) AM,DA16/0526 (Stg 1 as per recalc 26/7/18) AM"
S94-05,Open Space,S94-05 - Structured Open Space (Local),479,0,,,,,0,DA16/0755,dual occupancy with swimming pools,dual occupancy with swimming pools,2,Approved,2017-03-08,2017,719674,719674,POTTSVILLE,"Lot 5 DP 1239225
Being Lots 1-2 SP 96938",24 Elanora Avenue POTTSVILLE NSW 2489,Council,LEVIED,StructOS_5,479,479,479,8257076,
S94-04,Roads,S94-04 - Road Contribution Sector 02,12848,0,,,,,12848,DA20/0492,new generation boarding house comprising four (4) self-contained rooms,new generation boarding house comprising four (4) self-conta,1,Approved,2021-10-11,2021,859462,859462,TWEED HEADS SOUTH,Lot 9 DP 1080483,30 Philp Parade TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Sector2_4,12848,12848,12848,12082643,
S94-22,Roads,S94-22 - Cycleways,592,0,,,,,592,DA18/0613,townhouse development (3 units) and associated infrastructure,townhouse development (3 units) and associated infrastructur,1,Approved,2019-04-17,2019,787182,787182,MURWILLUMBAH,Lot 6 DP 18244,1A Church Lane MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewid22,592,592,592,9951807,
S94-13,Other,S94-13 - Eviron Cemetery,426,"DA19/0084 (Stg 1)JT,DA19/0084 (Stg 2)JT,DA19/0084 (Stg 3)JT,DA19/0084 (Stg 2 recalc 19/11/21) AM,DA19/0084 (Stg 3 recalc 19/11/21) AM",,,,,0,DA19/0084,"three attached dual occupancies (constructed in 3 stages, comprising an attached dual occupancy per stage)","three attached dual occupancies (constructed in 3 stages, co",3,Approved,2019-08-23,2019,804384,804384,KINGSCLIFF,"Lots 5-7 DP 25301
Subdivided into DP 1282885 - registered 1
2/04/2022",19 Sutherland Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt13,286,286,426,10688188,"DA19/0084 (Stg 1)JT,DA19/0084 (Stg 2)JT,DA19/0084 (Stg 3)JT,DA19/0084 (Stg 2 recalc 19/11/21) AM,DA19/0084 (Stg 3 recalc 19/11/21) AM"
S94-12,Roads,S94-12 - Bus Shelters,,,-13,0,,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,Approved,2019-05-30,2019,806058,806058,BOGANGAR,Lot 1 SP 86999,1/6 Banksia Avenue BOGANGAR NSW 2488,Council,PAID,Over10ET,12,12,-13,9995362,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-3399,0,,,0,DA19/0462,demolition of dwelling and garage and construction of 3 storey residential flat building comprising 5 x 3 bedroom units,demolition of dwelling and garage and construction of 3 stor,5,Approved,2019-12-11,2019,823167,823167,KINGSCLIFF,Lot 28 DP 21680,44 Sutherland Street KINGSCLIFF NSW 2487,Council,PAID,ResDevt11,75,75,-3399,10810542,
S94-12,Roads,S94-12 - Bus Shelters,66,0,,,,,0,DA15/0410,detached dual occupancy,detached dual occupancy,2,Approved,2015-08-24,2015,665776,665776,TERRANORA,"Lot 404 DP 1144944
Being Lots 1-2 SP 95593",11 Australia Drive TERRANORA NSW 2486,Council,LEVIED,Over10ET,66,66,66,7365689,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-4785,0,,,0,DA16/0772,townhouse development comprising 12 units,townhouse development comprising 12 units,12,Approved,2017-04-05,2017,720248,720248,TWEED HEADS,Lot 12 DP 25770,6 Stanley Street TWEED HEADS NSW 2485,Council,PAID,StructOS_5,4785,4785,-4785,8282625,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),12782,DA18/0054 (as per recalc 15/6/2021) AM,,,,,12782,DA18/0054,eco-tourist facility (6 cabins) and camping ground (12 sites),eco-tourist facility (6 cabins) and camping ground (12 sites,1,Approved,2020-03-23,2020,766701,766701,CRABBES CREEK,Lot 2 DP 883186,5515 Tweed Valley Way CRABBES CREEK NSW 2483,Council,LEVIED,CasOS_26,12782,12782,12782,10904242,DA18/0054 (as per recalc 15/6/2021) AM
S94-11,Community Facilities,S94-11 - Library Facilities,6043,"DA20/0125 (Stg 2),DA20/0125 (Stg 3)",,,,,6043,DA20/0125,"staged development including demolition, earthworks, tree removal, multi dwelling housing (8 dwellings and 2 pools) and strata subdivision","staged development including demolition, earthworks, tree re",8,Approved,2021-02-11,2021,846335,846335,BANORA POINT,"Lot 112 DP 1289171
Being Lots 1-2 SP 105937",12 Oyster Point Road BANORA POINT NSW 2486,Council,LEVIED,ResDevt11,6043,6043,6043,11524187,"DA20/0125 (Stg 2),DA20/0125 (Stg 3)"
S94-18,Other,S94-18 - Council Admin/Support Facilities,30218.56,0,,,,,0,DA15/0079,subdivision of six lots into 22 lots (Stage 11),subdivision of six lots into 22 lots (Stage 11),22,Approved,2016-05-13,2016,653720,653720,KINGSCLIFF,Lots 45-49 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,30218.56,30218.56,30218.56,7630763,
S94-11,Community Facilities,S94-11 - Library Facilities,544,0,,,,,0,DA19/0242,erection of dwelling to create detached dual occupancy and a detached garage and carport,erection of dwelling to create detached dual occupancy and a,1,Approved,2019-10-25,2019,811142,811142,POTTSVILLE,"Lot 1 DP 1273084
Being Lots 1-2 SP 105030",52 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,ResDevt11,544,544,544,10757092,
