Year,Contribution Plan Number,Contribution Plan Description,Expenditure Description,Contribution Ledger Number,Expenditure Ledger Number,Income Ledger Number,Period,Jrnl,Period Amt,Notes
1998-99,None,DCP3 FOOTPATH CONSTRUCTION,,A7016.302,A3803.001 A5608.008-A5608.012,A3225.302,1/4/1999-30/6/1999,1461,72166.78,
1998-99,None,Darlington Dr Cycleways,DCP14,A7052.302,A4837.001,A3225.302,1/1/1999-31/3/1999,,19484.34,
1998-99,None,Darlington Dr Cycleways,DCP14,A7052.302,A4837.001,A3225.302,1/4/1999-30/6/1999,1462,2585.4,
1998-99,None,Community Facilities Shirewide,Valuations,A7200.302,A2455.001,A2455.002,1/4/1999-30/6/1999,,450,
1998-99,None,Community Facilities Shirewide,,A7200.302,A2170.001 A2170.002,A2455.002,1/4/1999-30/6/1999,1464,24523.06,
1998-99,None,CONT PROV CAR PK MURBAH,Civic Centre Car Park A4852.001,A7304.302,A7810.001 A4852.001, A7899.003,1/4/1999-30/6/1999,1465,9105.52,
1998-99,None,CONT PROV CAR PK TWEED,Roundabout Wharf/Boundary Streets,A7306.302,A4835,A7899.003,1/4/1999-30/6/1999,1466,29432.35,
1998-99,None,RRDC,Upper Crystal Ck,A7430.302,A3733,A3810.009,1/4/1999-30/6/1999,1467,48000,
1998-99,None,RRDC,Dulguigan Rd,A7432.302,A3740.001,A3810.009,1/4/1999-30/6/1999,1538,46313,
1998-99,None,RRDC,Piggabeen Road,A7436.302,A3639.001,A3810.009,1/4/1999-30/6/1999,1468,1398.29,
1998-99,None,RRDC,Norths Lane,A7440.302,A3739,A3810.009,1/4/1999-30/6/1999,1469,40000,
1998-99,None,RRDC,PIGGABEEN RD,A7444.302,A3639.001,A3810.009,1/10/1998-31/12/1998,499,176,
1998-99,None,RRDC,Stokers Road,A7448.302,A3734,A3810.009,1/4/1999-30/6/1999,1470,12000,
1998-99,None,RRDC,KYOGLE RD,A7450.302,A3649.001,A3810.009,1/7/1998-30/9/1998,,1059.3,
1998-99,None,BLACK ROCKS BRIDGE,,A7510.302,A4500,A4551.793,1/10/1998-31/12/1998,393,5664.59,
1998-99,None,BLACK ROCKS BRIDGE,,A7510.302,A4500,A4551.793,1/1/1999-31/3/1999,500/393,1747.11,
2001-02,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400  / A7012.302,A2455  / A2455,A2455.0793  / A2455.002,1/10/2001-31/12/2001,575,4800,
2001-02,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400  / A7012.302,A2455  / A2455,A2455.0793  / A2455.002,1/4/2002-30/6/2002,,120782.94,
2001-02,4,TRCP,Lakes Dr Bridge,04.02.00.91400  / A7398.302,A3645  / A3645.001,A3807.0793  / A3807.001,1/10/2001-31/12/2001,576,8316.37,
2001-02,4,TRCP,Tweed Link Advertising,04.02.00.91400  / A7398.302,A780  / A7820.749,A3807.0793  / A3807.001,1/10/2001-31/12/2001,579,1876.5,
2001-02,4,TRCP,Turnock/Cudgen Rd Elrond Dr Beach St Roundabout,04.02.00.91400  / A7398.302,A3643  / A3643,A3807.0793  / A3807.001,1/10/2001-31/12/2001,580,6955.15,
2001-02,4,TRCP,Turnock/Cudgen Rd Elrond Dr Beach St Roundabout,04.02.00.91400  / A7398.302,A3643  / A3643,A3807.0793  / A3807.001,1/4/2002-30/6/2002,,634.31,
2001-02,4,TRCP,KYOGLE RD UKI,04.02.00.91400  / A7398.302,A3649.001  / A3649,A3807.0793  / A3807.001,1/4/2002-30/6/2002,,2688,
2001-02,4,TRCP,Loan repayment 190G A4000,04.02.00.91400  / A7398.302,04.02.00.91400  / Consolidation A7398,A3807.0793  / A3807.001,1/4/2002-30/6/2002,,227832,
2001-02,4,TRCP,,0  / A7398.302,A7820.7170 A7820.7171  / A7820.003 A7820.004,A3807.0793  / A3807.001,1/10/2001-31/12/2001,581,1876.5,
2001-02,5,OPEN SPACE,,05.16.02.91400  / A7132.302,A1143.3225  / A1143.001,A7899.2120  / A7899.012,1/4/2002-30/6/2002,,2200,
2001-02,5,OPEN SPACE,Les Burger Field,05.16.02.91400  / A7132.302,0  / A2200.001,A7899.2120  / A7899.012,1/10/2001-31/12/2001,582,1409.09,
2001-02,5,OPEN SPACE,Les Burger Field,05.16.02.91400  / A7132.302,0  / A2200.001,A7899.2120  / A7899.012,1/4/2002-30/6/2002,,3336.54,
2001-02,5,OPEN SPACE,Cabarita park embellishment,05.16.04.91400  / A7136.302,0  / A3222.001,A7899.2120  / A7899.012,1/10/2001-31/12/2001,600,40638.19,
2001-02,5,OPEN SPACE,Cabarita park embellishment,05.16.04.91400  / A7136.302,0  / A3222.001,A7899.2120  / A7899.012,1/4/2002-30/6/2002,,-30488,
2001-02,6,CONTRIBUTION STREET TREES,,06.08.00.91400  / A7250.302,0  / A3118.001,A3225.2085  / A3225.002,1/10/2001-31/12/2001,601,341.41,
2001-02,6,CONTRIBUTION STREET TREES,,06.08.00.91400  / A7250.302,0  / A3118.001,A3225.2085  / A3225.002,1/4/2002-30/6/2002,,2219.08,
2001-02,6,CONTRIBUTION STREET TREES,Tree purchases,06.08.00.91400  / A7250.302,0  / A3118.002,A3225.2086  / A3225.002,1/10/2001-31/12/2001,602,2906.25,
2001-02,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION,11.06.00.91400  / A7210.302,11.06.00.45025  / A2280.001 A2282.004,A2347.0793  / A2347.793,1/10/2001-31/12/2001,603,7000,
2001-02,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION,11.06.00.91400  / A7210.302,11.06.00.45025  / A2280.001 A2282.004,A2347.0793  / A2347.793,1/4/2002-30/6/2002,,102802,
2001-02,12,Bus Shelters,,12.10.00.45095  / A7080.302,A5633 A7092  / A45633 A5635,0  / 0,1/4/2002-30/6/2002,,11460,
2001-02,13,CEMETERIES,ENVIRON CEMETERY,13.11.00.91400  / A7070.302,0  / A2895.002,A2895.0793  / A2895.002,1/4/2002-30/6/2002,,83730.05,
2001-02,15,COMMUNITY FACILITIES,Refurbishment Pottsville School,15.06.01.91400  / A7201.302 A7202.302,0  / A2456   A2170,A2895.0794  / A2455.002,1/10/2001-31/12/2001,606,121.78,
2001-02,15,COMMUNITY FACILITIES,Refurbishment Pottsville School,15.06.01.91400  / A7201.302 A7202.302,0  / A2456   A2170,A2895.0794  / A2455.002,1/4/2002-30/6/2002,,142.65,
2001-02,16,SLSC,EQUIPMENT,15.06.02.91400  / A7102.003,0  / A2065.004,A2895.0795  / A2065.005,1/10/2001-31/12/2001,607,4628.25,
2001-02,16,SLSC,EQUIPMENT,15.06.02.91400  / A7102.003,0  / A2065.004,A2895.0795  / A2065.005,1/4/2002-30/6/2002,,6899.92,
2001-02,18,Council Tech. Facilities,,18.13.00.91400  / A7198.302,0  / A2135 A2237,A2237  / A2237,1/4/2002-30/6/2002,,214807.53,
2001-02,19,Kings Beach,CP 19 advertisement,1905.00.91400  / A7199.302,0  / A7822.001- A7822.006 A4853.001,A7822  / A7822.793,1/10/2001-31/12/2001,608,115.69,
2001-02,19,Kings Beach,CP 19 advertisement,1905.00.91400  / A7199.302,0  / A7822.001- A7822.006 A4853.001,A7822  / A7822.793,1/4/2002-30/6/2002,,7712,
2001-02,22,SHIREWIDE CYCLEWAYS,Tweed Link advertising & consultants fees,22.07.00.91400  / A7103.302,0  / A1143.003 A1143.749,A3225.2086  / A3225.003,1/4/2002-30/6/2002,,41000,
2001-02,23,CP23 Car Park,,23.04.04.91400 A5616.0793  / A7323.302,0  / A5615.001,0  / 0,1/10/2001-31/12/2001,,70561.85,
2001-02,23,CP23 Car Park,,23.04.04.91400 A5616.0793  / A7323.302,0  / A5615.001,0  / 0,1/4/2002-30/6/2002,,11412.15,
2001-02,None,DCP14,Path & Cycleway,91.07.00.91400  / A7052.302,0  / A4820.001,A3225  / A3225.302,1/4/2002-30/6/2002,,256.92,
2001-02,None,BLACK ROCKS BRIDGE,,89.09.00.91400  / A7510.302,0  / A4500,A4551.0793  / A4551.793,1/10/2001-31/12/2001,609,483.49,
2003-04,1,DCP3 ACTIVE OPEN SPACE,Playground & Dave Burns Field irrigation Sth Twd,01.16.00.91400,A3026.2018 A3026.2019 A3026.0001,A7899.2120,1/1/2004-28/2/2004,662,313.9,
2003-04,1,DCP3 ACTIVE OPEN SPACE,Playground & Dave Burns Field irrigation Sth Twd,01.16.00.91400,A3026.2018 A3026.2019 A3026.0001,A7899.2120,1/3/2004-31/3/2004,696,132000,
2003-04,1,DCP3 ACTIVE OPEN SPACE,Playground & Dave Burns Field irrigation Sth Twd,01.16.00.91400,A3026.2018 A3026.2019 A3026.0001,A7899.2120,1/6/2004-30/6/2004,,87566,
2003-04,1,DCP3 ACTIVE OPEN SPACE,Round Mountain,01.16.00.91400,A3026.2177,A3031.0793,1/7/2003-30/9/2003,341,16783.48,
2003-04,1,DCP3 ACTIVE OPEN SPACE,Round Mountain,01.16.00.91400,A3026.2177,A3031.0793,1/1/2004-28/2/2004,662,-4226.04,
2003-04,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A1145            A2441,A2455.0793,1/7/2003-30/9/2003,343,11851.09,
2003-04,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A1145            A2441,A2455.0793,1/6/2004-30/6/2004,1217,89999.09,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A4011,A3807.0793,1/1/2004-28/2/2004,663,17688.63,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A4011,A3807.0793,1/6/2004-30/6/2004,1218,8820.58,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3646 ,A3807.0793,1/1/2004-28/2/2004,663,10267.3,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3646 ,A3807.0793,1/6/2004-30/6/2004,1218,442596.62,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/7/2003-30/9/2003,344,64762,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/1/2004-28/2/2004,663,1009915.38,
2003-04,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/6/2004-30/6/2004,1218,1417757.12,
2003-04,4,TRCP,Fraser Drive,04.02.00.91400,A3643 A4686,A3807.0793,1/1/2004-28/2/2004,664,111.45,
2003-04,4,TRCP,Leisure/Darlington Dr & Twd Cst Rd,04.02.00.91400,A3640 A3647,A3807.0793,1/7/2003-30/9/2003,346,39174.87,
2003-04,4,TRCP,Leisure/Darlington Dr & Twd Cst Rd,04.02.00.91400,A3640 A3647,A3807.0793,1/1/2004-28/2/2004,665,6498.77,
2003-04,4,TRCP,Leisure/Darlington Dr & Twd Cst Rd,04.02.00.91400,A3640 A3647,A3807.0793,1/6/2004-30/6/2004,1218,2206.89,
2003-04,4,TRCP,Machinery/Minjungbal Dr,04.02.00.91400,A3642,A3807.0793,1/7/2003-30/9/2003,345,553754.21,
2003-04,4,TRCP,Machinery/Minjungbal Dr,04.02.00.91400,A3642,A3807.0793,1/1/2004-28/2/2004,663,36515.56,
2003-04,4,TRCP,Machinery/Minjungbal Dr,04.02.00.91400,A3642,A3807.0793,1/6/2004-30/6/2004,1218,114345.32,
2003-04,4,TRCP,DULGUIGAN ROAD,04.02.00.91400,A3636.001,A3807.0793,1/7/2003-30/9/2003,347,68.51,
2003-04,4,TRCP,Black Rocks Bridge,04.02.00.91400,A4500,A3807.0793,1/6/2004-30/6/2004,1299,616999.98,
2003-04,4,TRCP,Loan repayment 190G A4000,04.02.00.91400,,A3807.0793,1/6/2004-30/6/2004,1219 LOAN,211000,
2003-04,4,LTTS,LOAN 190 PRINCIPAL & INTEREST,,A7820   A4000,A3807.0793,1/6/2004-30/6/2004,1218,847.27,
2003-04,5,OPEN SPACE,CP5 Consultant fees,05.16.02.91400,A1143,A7899.2120,1/7/2003-30/9/2003,348,540,
2003-04,5,OPEN SPACE,CP5 Consultant fees,05.16.02.91400,A1143,A7899.2120,1/6/2004-30/6/2004,1220,194.09,
2003-04,5,OPEN SPACE,Les Burger Field,05.16.02.91400,A2200,A7899.2120,1/7/2003-30/9/2003,349,231.19,
2003-04,5,OPEN SPACE,Piggabeen sportsfield interest,05.16.03.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/1/2004-28/2/2004,666,7802.49,
2003-04,5,OPEN SPACE,"Cabarita park embellishment First $19,550.09 Paid by DLAWC Total TSC recoup $80000 1999-2004 (total recouped $50,431 $29569 remaining)",05.16.04.91400,A3222,A7899.2120,1/7/2003-30/9/2003,350,4145.45,
2003-04,5,OPEN SPACE,"Cabarita park embellishment First $19,550.09 Paid by DLAWC Total TSC recoup $80000 1999-2004 (total recouped $50,431 $29569 remaining)",05.16.04.91400,A3222,A7899.2120,1/6/2004-30/6/2004,1221,5123.15,
2003-04,5,OPEN SPACE,,05.16.09.91400,A3225,A7899.2120,1/7/2003-30/9/2003,351,2408.17,
2003-04,5,OPEN SPACE,,05.16.09.91400,A3225,A7899.2120,1/1/2004-28/2/2004,667,582.35,
2003-04,5,OPEN SPACE,,05.16.09.91400,A3225,A7899.2120,1/6/2004-30/6/2004,1222,-2408.17,
2003-04,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/7/2003-30/9/2003,352,3338.74,
2003-04,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/3/2004-31/3/2004,734,1052,
2003-04,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/4/2004-30/4/2004,826,1125.01,
2003-04,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/5/2004-31/5/2004,935,1088.72,
2003-04,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/6/2004-30/6/2004,1184 1059,2214,
2003-04,5,STRUCTURED OPEN SPACE,Round Mtn,05.16.00.91400,A3026.4034,A3031.0793,1/1/2004-28/2/2004,668,1623.61,
2003-04,5,STRUCTURED OPEN SPACE,Les Cave/Rabjones,05.16.00.91400,A30262181,A3031.0793,1/6/2004-30/6/2004,1223,17277.08,
2003-04,5,STRUCTURED OPEN SPACE,Cabarita Sports Centre,05.16.00.91400,A30264034,A2456.0793.91400,1/5/2004-31/5/2004,958,52848,
2003-04,5,OPEN SPACE,Passive recreation Pottsville,05.15.00.91400,A31254013,A3225.2084,1/7/2003-30/9/2003,353,2232.04,
2003-04,5,OPEN SPACE,Passive recreation Pottsville,05.15.00.91400,A31254013,A3225.2084,1/1/2004-28/2/2004,669,617.3,
2003-04,5,OPEN SPACE,Passive recreation Bogangar,05.15.00.91400,A31252178,A3225.2084,1/7/2003-30/9/2003,354,421.24,
2003-04,5,OPEN SPACE,Passive recreation Bogangar,05.15.00.91400,A31252178,A3225.2084,1/1/2004-28/2/2004,670,43080.61,
2003-04,5,OPEN SPACE,Passive recreation Bogangar,05.15.00.91400,A31252178,A3225.2084,1/6/2004-30/6/2004,1224,43871.07,
2003-04,5,OPEN SPACE,Bogangar,05.15.00.91400,A31254019,A3225.2084,1/1/2004-28/2/2004,671,25979.43,
2003-04,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/7/2003-30/9/2003,355,492,
2003-04,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/1/2004-28/2/2004,672,36.64,
2003-04,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/6/2004-30/6/2004,1225,34009.22,
2003-04,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/7/2003-30/9/2003,356,337.24,
2003-04,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/6/2004-30/6/2004,1226,1321.85,
2003-04,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION Bookstock,11.06.00.91400,A2282 A2347,A2347.0793,1/6/2004-30/6/2004,1225 PT LOAN,237339.42,
2003-04,13,CEMETERIES,ENVIRON CEMETERY Loan,13.11.00.91400,A2800,A2895.0793,1/6/2004-30/6/2004,1228 LOAN,80000,
2003-04,15,COMMUNITY FACILITIES NTH,Final instal Potts School,15.06.01.91400,A8750 A2170,A2895.0794,1/6/2004-30/6/2004,1229,47000,
2003-04,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2895.0795,1/7/2003-30/9/2003,357,191.72,
2003-04,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2895.0795,1/1/2004-28/2/2004,673,13420.04,
2003-04,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2895.0795,1/6/2004-30/6/2004,1230,5083.28,
2003-04,18,Council Tech. Facilities,Civic Centre Extensions,18.13.00.91400,A2135,A2237,1/6/2004-30/6/2004,1232,272645,
2003-04,19,Kings Beach,CP 19 advertisement,1905.00.91400,A3637,A7822,1/6/2004-30/6/2004,1233,2450,
2003-04,22,SHIREWIDE CYCLEWAYS,Tweed Link advertising & consultants fees,22.07.00.91400,,A3225.2086,1/6/2004-30/6/2004,1234 LOAN,70000,
2003-04,23,CP23 Car Park,General,23.04.04.91400 A5616.0793,A5615,A5616,1/1/2004-28/2/2004,675,31914.65,
2003-04,25,Kings Beach Open Space,,25.05.00.91400,A3637,A1147,1/1/2004-28/2/2004,676,2450,
2003-04,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0793,1/1/2004-28/2/2004,677,7616.84,
2003-04,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0793,1/6/2004-30/6/2004,1235,9086.43,
2003-04,None,BLACK ROCKS BRIDGE,"$700,000 Adj 30/06/04",89.09.00.91400,A4500,A4551.0793,1/7/2003-30/9/2003,358,341669.73,
2003-04,None,BLACK ROCKS BRIDGE,"$700,000 Adj 30/06/04",89.09.00.91400,A4500,A4551.0793,1/1/2004-28/2/2004,678,32227.27,
