Purpose,Transaction Year,Transaction Date,Transaction Type,Receipt Type,Plan,Levy,LEVIED,PAID,BALANCE,Application ID,Application Description,Short Description,Lots,Approval Date,Approval Year,locality,DECISION,Determined By,Works In Kind,Works In Kind Description,CHARGE_TYPE,APPLICATION_NO,RAM_PROCESS_CTR,Initial Balance,Charge Amount
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,127,127,0,DA17/0351,demolition of existing dwelling and shed and 2 lot subdivision,demolition of existing dwelling and shed and 2 lot subdivisi,2,2017-09-26T15:04:58,2017,BANORA POINT,Approved,Council,FALSE,,ResDevt13,744078,744078,127,127
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1935.62,1935.62,0,DA17/0351,demolition of existing dwelling and shed and 2 lot subdivision,demolition of existing dwelling and shed and 2 lot subdivisi,2,2017-09-26T15:04:58,2017,BANORA POINT,Approved,Council,FALSE,,Shirewide,744078,744078,1935.62,1935.62
Other,2020,2020-08-10T00:00:00,Payment,BPoint,S94-18,S94-18 - Council Admin/Support Facilities,3320.29,3320.29,0,DA19/0803,organic waste management facility (NRPP),organic waste management facility (NRPP),1,2020-07-30T11:09:21,2020,EVIRON,Approved,Council,FALSE,,Shirewide,836623,836623,3320.29,3320.29
Other,2022,2022-02-04T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,294.35,294.35,0,DA20/0532,alterations and additions to an existing waste management facility,alterations and additions to an existing waste management fa,1,2021-05-31T14:59:20,2021,EVIRON,Approved,Council,FALSE,,Shirewide,860777,860777,294.35,294.35
Other,2017,2017-06-01T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,59,59,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,2017-05-11T14:04:08,2017,TWEED HEADS SOUTH,Approved,Council,FALSE,,Over10ET,731426,731426,59,59
Other,2017,2017-06-01T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,109,109,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,2017-05-11T14:04:08,2017,TWEED HEADS SOUTH,Approved,Council,FALSE,,ResDevt13,731426,731426,109,109
Other,2017,2017-06-01T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1670.87,1670.87,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,2017-05-11T14:04:08,2017,TWEED HEADS SOUTH,Approved,Council,FALSE,,Shirewide,731426,731426,1670.87,1670.87
Other,2021,2021-05-21T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,209,209,0,DA18/0399,multi dwelling housing (4 townhouses) and ancillary demolition and landscaping works,multi dwelling housing (4 townhouses) and ancillary demoliti,4,2019-04-17T12:20:45,2019,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,778768,778768,209,209
Other,2021,2021-05-21T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,393,393,0,DA18/0399,multi dwelling housing (4 townhouses) and ancillary demolition and landscaping works,multi dwelling housing (4 townhouses) and ancillary demoliti,4,2019-04-17T12:20:45,2019,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,778768,778768,393,393
Other,2021,2021-05-21T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,6193.3,6193.3,0,DA18/0399,multi dwelling housing (4 townhouses) and ancillary demolition and landscaping works,multi dwelling housing (4 townhouses) and ancillary demoliti,4,2019-04-17T12:20:45,2019,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,778768,778768,6193.3,6193.3
Other,2018,2018-12-10T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,204,204,0,DA16/0011,"demolition of existing shed, multi dwelling housing development and five lot strata subdivision","demolition of existing shed, multi dwelling housing developm",5,2016-09-12T14:08:21,2016,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,687646,687646,204,204
Other,2018,2018-12-10T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,388,388,0,DA16/0011,"demolition of existing shed, multi dwelling housing development and five lot strata subdivision","demolition of existing shed, multi dwelling housing developm",5,2016-09-12T14:08:21,2016,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,687646,687646,388,388
Other,2018,2018-12-10T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,6285.84,6285.84,0,DA16/0011,"demolition of existing shed, multi dwelling housing development and five lot strata subdivision","demolition of existing shed, multi dwelling housing developm",5,2016-09-12T14:08:21,2016,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,687646,687646,6285.84,6285.84
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,50,50,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,2018-06-28T14:50:57,2018,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,764723,764723,50,50
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,95,95,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,2018-06-28T14:50:57,2018,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,764723,764723,95,95
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1451.72,1451.72,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,2018-06-28T14:50:57,2018,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,764723,764723,1451.72,1451.72
Other,2021,2021-06-21T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,50,50,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,2020-11-24T10:00:30.58,2020,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,859303,859303,50,50
Other,2021,2021-06-21T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,94,94,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,2020-11-24T10:00:30.58,2020,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,859303,859303,94,94
Other,2021,2021-06-21T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1481.89,1481.89,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,2020-11-24T10:00:30.58,2020,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,859303,859303,1481.89,1481.89
Other,2022,2022-07-20T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,50,57,0,DA17/0097,detached dual occupancy,detached dual occupancy,2,2018-04-06T13:53:34,2018,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,733403,733403,50,50
Other,2022,2022-07-20T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,95,107,0,DA17/0097,detached dual occupancy,detached dual occupancy,2,2018-04-06T13:53:34,2018,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,733403,733403,95,95
Other,2022,2022-07-20T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1451.72,1689.08,0,DA17/0097,detached dual occupancy,detached dual occupancy,2,2018-04-06T13:53:34,2018,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,733403,733403,1451.72,1451.72
Other,2018,2018-08-28T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,21,21,0,DA18/0030,"alterations to an existing residential flat building unit (Unit 5) comprising two additional bedrooms, construction of a laundry room, alterations to kitchen and bathroom and creation of a car parking space",alterations to an existing residential flat building unit (U,1,2018-08-24T11:06:36,2018,TWEED HEADS,Approved,Council,FALSE,,Over10ET,766206,766206,21,21
Other,2018,2018-08-28T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,39,39,0,DA18/0030,"alterations to an existing residential flat building unit (Unit 5) comprising two additional bedrooms, construction of a laundry room, alterations to kitchen and bathroom and creation of a car parking space",alterations to an existing residential flat building unit (U,1,2018-08-24T11:06:36,2018,TWEED HEADS,Approved,Council,FALSE,,ResDevt13,766206,766206,39,39
Other,2018,2018-08-28T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,637.99,637.99,0,DA18/0030,"alterations to an existing residential flat building unit (Unit 5) comprising two additional bedrooms, construction of a laundry room, alterations to kitchen and bathroom and creation of a car parking space",alterations to an existing residential flat building unit (U,1,2018-08-24T11:06:36,2018,TWEED HEADS,Approved,Council,FALSE,,Shirewide,766206,766206,637.99,637.99
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,12,12,0,DA18/0278,additional bedroom and alterations to kitchen and bathroom in unit,additional bedroom and alterations to kitchen and bathroom i,1,2018-08-22T16:14:35,2018,TWEED HEADS,Approved,Council,FALSE,,Over10ET,774614,774614,12,12
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,23,23,0,DA18/0278,additional bedroom and alterations to kitchen and bathroom in unit,additional bedroom and alterations to kitchen and bathroom i,1,2018-08-22T16:14:35,2018,TWEED HEADS,Approved,Council,FALSE,,ResDevt13,774614,774614,23,23
Other,2018,2018-10-16T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,364.6,364.6,0,DA18/0278,additional bedroom and alterations to kitchen and bathroom in unit,additional bedroom and alterations to kitchen and bathroom i,1,2018-08-22T16:14:35,2018,TWEED HEADS,Approved,Council,FALSE,,Shirewide,774614,774614,364.6,364.6
Other,2023,2023-01-11T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,76,76,0,DA21/0902,"construction of a detached dual occupancy, associated earthworks and strata subdivision","construction of a detached dual occupancy, associated earthw",1,2022-11-23T16:11:20.333,2022,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Over10ET,913607,913607,76,76
Other,2023,2023-01-11T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,143,143,0,DA21/0902,"construction of a detached dual occupancy, associated earthworks and strata subdivision","construction of a detached dual occupancy, associated earthw",1,2022-11-23T16:11:20.333,2022,BILAMBIL HEIGHTS,Approved,Council,FALSE,,ResDevt13,913607,913607,143,143
Other,2023,2023-01-11T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2252.11,2252.11,0,DA21/0902,"construction of a detached dual occupancy, associated earthworks and strata subdivision","construction of a detached dual occupancy, associated earthw",1,2022-11-23T16:11:20.333,2022,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Shirewide,913607,913607,2252.11,2252.11
Other,2019,2019-08-12T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,66,66,0,DA19/0260,dual occupancy (detached),dual occupancy (detached),1,2019-08-05T14:51:04,2019,BURRINGBAR,Approved,Council,FALSE,,Over10ET,812371,812371,66,66
Other,2019,2019-08-12T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,123,123,0,DA19/0260,dual occupancy (detached),dual occupancy (detached),1,2019-08-05T14:51:04,2019,BURRINGBAR,Approved,Council,FALSE,,ResDevt13,812371,812371,123,123
Other,2019,2019-08-12T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1921.4,1921.4,0,DA19/0260,dual occupancy (detached),dual occupancy (detached),1,2019-08-05T14:51:04,2019,BURRINGBAR,Approved,Council,FALSE,,Shirewide,812371,812371,1921.4,1921.4
Other,2016,2016-07-04T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,43.82,43.82,0,DA16/0187,change of use to a veterinary health consulting room within a residence,change of use to a veterinary health consulting room within ,1,2016-06-27T09:16:23,2016,BURRINGBAR,Approved,Council,FALSE,,Shirewide,695361,695361,43.82,43.82
Other,2018,2018-04-10T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,59,59,0,DA16/0907,erection of second unit to create detached dual occupancy and strata subdivision,erection of second unit to create detached dual occupancy an,1,2017-04-13T14:52:54,2017,BANORA POINT,Approved,Council,FALSE,,Over10ET,725950,725950,59,59
Other,2018,2018-04-10T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,109,109,0,DA16/0907,erection of second unit to create detached dual occupancy and strata subdivision,erection of second unit to create detached dual occupancy an,1,2017-04-13T14:52:54,2017,BANORA POINT,Approved,Council,FALSE,,ResDevt13,725950,725950,109,109
Other,2018,2018-04-10T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1670.87,1670.87,0,DA16/0907,erection of second unit to create detached dual occupancy and strata subdivision,erection of second unit to create detached dual occupancy an,1,2017-04-13T14:52:54,2017,BANORA POINT,Approved,Council,FALSE,,Shirewide,725950,725950,1670.87,1670.87
Other,2021,2021-03-08T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,76,76,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,Over10ET,782019,782019,76,76
Other,2021,2021-03-08T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,143,143,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,ResDevt13,782019,782019,143,143
Other,2021,2021-03-08T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2252.11,2252.11,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,Shirewide,782019,782019,2252.11,2252.11
Other,2022,2022-04-21T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,76,76,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,Over10ET,782019,782019,76,76
Other,2022,2022-04-21T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,143,143,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,ResDevt13,782019,782019,143,143
Other,2022,2022-04-21T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2252.11,2252.11,0,DA18/0485,a staged development consisting of three dwellings over three stages (one dwelling per stage),a staged development consisting of three dwellings over thre,1,2019-09-09T09:59:47,2019,MURWILLUMBAH,Approved,Council,FALSE,,Shirewide,782019,782019,2252.11,2252.11
Other,2021,2021-03-22T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,488.03,488.03,0,DA20/0408,agricultural produce industry,agricultural produce industry,1,2021-02-19T16:02:30.65,2021,BYRRILL CREEK,Approved,Council,FALSE,,Shirewide,857001,857001,488.03,488.03
Other,2022,2022-12-19T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,88.02,88.02,0,DA20/0083,rural workers dwelling,rural workers dwelling,1,2021-05-10T14:14:47.677,2021,BYRRILL CREEK,Approved,Council,FALSE,,ResDevt13,843825,843825,88.02,88.02
Other,2022,2022-12-19T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1386.29,1386.29,0,DA20/0083,rural workers dwelling,rural workers dwelling,1,2021-05-10T14:14:47.677,2021,BYRRILL CREEK,Approved,Council,FALSE,,Shirewide,843825,843825,1386.29,1386.29
Other,2019,2019-04-09T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,270.99,270.99,0,DA17/0915,convert existing farm building into restaurant/café,convert existing farm building into restaurant/café,1,2018-05-30T15:41:36,2018,CLOTHIERS CREEK,Approved,Council,FALSE,,Shirewide,763832,763832,270.99,270.99
Other,2018,2018-10-04T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,229.19,35.19,0,DA17/0541,additions to animal boarding kennels and demolition of an existing kennel building,additions to animal boarding kennels and demolition of an ex,1,2017-12-01T15:58:20,2017,CLOTHIERS CREEK,Approved,Council,FALSE,,Shirewide,751443,751443,229.19,229.19
Other,2019,2019-08-27T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,229.19,229.19,0,DA17/0541,additions to animal boarding kennels and demolition of an existing kennel building,additions to animal boarding kennels and demolition of an ex,1,2017-12-01T15:58:20,2017,CLOTHIERS CREEK,Approved,Council,FALSE,,Shirewide,751443,751443,229.19,229.19
Other,2016,2016-05-26T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,66,66,0,DA16/0024,detached dual occupancy,detached dual occupancy,2,2016-05-17T14:54:37,2016,HASTINGS POINT,Approved,Council,FALSE,,Over10ET,688235,688235,66,66
Other,2016,2016-05-26T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,124,124,0,DA16/0024,detached dual occupancy,detached dual occupancy,2,2016-05-17T14:54:37,2016,HASTINGS POINT,Approved,Council,FALSE,,ResDevt13,688235,688235,124,124
Other,2016,2016-05-26T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1888.66,1888.66,0,DA16/0024,detached dual occupancy,detached dual occupancy,2,2016-05-17T14:54:37,2016,HASTINGS POINT,Approved,Council,FALSE,,Shirewide,688235,688235,1888.66,1888.66
Other,2020,2020-10-30T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,75,75,0,DA19/0791,demolition of existing dwelling and shed and construction of dual occupancy (attached) including two pools,demolition of existing dwelling and shed and construction of,2,2020-06-23T12:47:59,2020,BOGANGAR,Approved,Council,FALSE,,Over10ET,835812,835812,75,75
Other,2020,2020-10-30T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,140,140,0,DA19/0791,demolition of existing dwelling and shed and construction of dual occupancy (attached) including two pools,demolition of existing dwelling and shed and construction of,2,2020-06-23T12:47:59,2020,BOGANGAR,Approved,Council,FALSE,,ResDevt13,835812,835812,140,140
Other,2020,2020-10-30T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2195.88,2195.88,0,DA19/0791,demolition of existing dwelling and shed and construction of dual occupancy (attached) including two pools,demolition of existing dwelling and shed and construction of,2,2020-06-23T12:47:59,2020,BOGANGAR,Approved,Council,FALSE,,Shirewide,835812,835812,2195.88,2195.88
Other,2022,2022-12-19T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,57,57,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,2022-12-16T11:17:32.39,2022,BOGANGAR,Approved,Council,FALSE,,Over10ET,916688,916688,57,57
Other,2022,2022-12-19T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,107,107,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,2022-12-16T11:17:32.39,2022,BOGANGAR,Approved,Council,FALSE,,ResDevt13,916688,916688,107,107
Other,2022,2022-12-19T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1689.08,1689.08,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,2022-12-16T11:17:32.39,2022,BOGANGAR,Approved,Council,FALSE,,Shirewide,916688,916688,1689.08,1689.08
Other,2018,2018-09-24T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,135,135,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,2017-05-11T08:51:40,2017,TWEED HEADS SOUTH,Approved,Council,FALSE,,ResDevt13,733344,733344,135,135
Other,2018,2018-09-24T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2187.14,2187.14,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,2017-05-11T08:51:40,2017,TWEED HEADS SOUTH,Approved,Council,FALSE,,Shirewide,733344,733344,2187.14,2187.14
Other,2017,2017-10-30T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,98,98,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Over10ET,685919,685919,98,98
Other,2017,2017-10-30T00:00:00,Payment,Receipt,S94-23,S94-23 - Shire Wide Carparking (Pottsville),48872,45044,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Pville23,685919,685919,48872,48872
Other,2017,2017-10-30T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,185,182,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,ResDevt13,685919,685919,185,185
Other,2017,2017-10-30T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,4919.77,4853.55,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Shirewide,685919,685919,4919.77,4919.77
Other,2017,2017-11-13T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,98,-2,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Over10ET,685919,685919,98,98
Other,2018,2018-01-09T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,185,3,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,ResDevt13,685919,685919,185,185
Other,2018,2018-01-09T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,4919.77,66.22,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Shirewide,685919,685919,4919.77,4919.77
Other,2018,2018-01-09T00:00:00,Payment,Receipt,S94-23,S94-23 - Shire Wide Carparking (Pottsville),48872,3828,0,DA15/1037,"demolition of existing structure and construction of mixed use development comprising shops, cafe, medical centre and shop top housing (4 dwellings)",demolition of existing structure and construction of mixed u,1,2016-09-16T15:05:49,2016,POTTSVILLE,Approved,Council,FALSE,,Pville23,685919,685919,48872,48872
Other,2020,2020-06-09T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,66,66,0,DA17/0141,two lot subdivision and alterations and additions to existing house,two lot subdivision and alterations and additions to existin,2,2017-06-15T09:46:43,2017,CUDGEN,Approved,Council,FALSE,,Over10ET,735640,735640,66,66
Other,2020,2020-06-09T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,123.2,123.2,0,DA17/0141,two lot subdivision and alterations and additions to existing house,two lot subdivision and alterations and additions to existin,2,2017-06-15T09:46:43,2017,CUDGEN,Approved,Council,FALSE,,ResDevt13,735640,735640,123.2,123.2
